#### Dobrynina et al. (arXiv: 1412.4777) gamma-gamma-dispersion measure: 
#### first column: omega/omega_2, omega_2 = m_e**2/<omega_B>, <omega_B> = pi**4/zeta(3)/30 * T (T --- temperature of radiation field)
#### second column: value of g2
0.000000000000000000e+00 1.000000005001002279e+00
1.000100010001000133e-04 1.000000038573662486e+00
2.000200020002000265e-04 1.000000072166321363e+00
3.000300030003000534e-04 1.000000106690373203e+00
4.000400040004000531e-04 1.000000145802901752e+00
5.000500050005000528e-04 1.000000192916184361e+00
6.000600060006001067e-04 1.000000249142828368e+00
7.000700070007000522e-04 1.000000314824264214e+00
8.000800080008001062e-04 1.000000389870201012e+00
9.000900090009001601e-04 1.000000474267115580e+00
1.000100010001000106e-03 1.000000568467564577e+00
1.100110011001100051e-03 1.000000671950852293e+00
1.200120012001200213e-03 1.000000784882064675e+00
1.300130013001300159e-03 1.000000907420446117e+00
1.400140014001400104e-03 1.000001039836849070e+00
1.500150015001500267e-03 1.000001181752578239e+00
1.600160016001600212e-03 1.000001333079435950e+00
1.700170017001700158e-03 1.000001494105844824e+00
1.800180018001800320e-03 1.000001665193133826e+00
1.900190019001900266e-03 1.000001845656720567e+00
2.000200020002000211e-03 1.000002036489982649e+00
2.100210021002100157e-03 1.000002235749422486e+00
2.200220022002200102e-03 1.000002446009227386e+00
2.300230023002300481e-03 1.000002665367530019e+00
2.400240024002400427e-03 1.000002894355674465e+00
2.500250025002500372e-03 1.000003133183330561e+00
2.600260026002600318e-03 1.000003381825269155e+00
2.700270027002700263e-03 1.000003640626978552e+00
2.800280028002800209e-03 1.000003909355806631e+00
2.900290029002900588e-03 1.000004185535600776e+00
3.000300030003000534e-03 1.000004475727099829e+00
3.100310031003100479e-03 1.000004770400994447e+00
3.200320032003200425e-03 1.000005079268578179e+00
3.300330033003300370e-03 1.000005396188412776e+00
3.400340034003400316e-03 1.000005721460982544e+00
3.500350035003500261e-03 1.000006059370039946e+00
3.600360036003600640e-03 1.000006404733601917e+00
3.700370037003700586e-03 1.000006760575956610e+00
3.800380038003800531e-03 1.000007126941753866e+00
3.900390039003900477e-03 1.000007501061472848e+00
4.000400040004000422e-03 1.000007885818039233e+00
4.100410041004100802e-03 1.000008281848403069e+00
4.200420042004200313e-03 1.000008685860862334e+00
4.300430043004300693e-03 1.000009100045350596e+00
4.400440044004400204e-03 1.000009523690088553e+00
4.500450045004500584e-03 1.000009959110939928e+00
4.600460046004600963e-03 1.000010402430551171e+00
4.700470047004700475e-03 1.000010853908727126e+00
4.800480048004800854e-03 1.000011317176943137e+00
4.900490049004900366e-03 1.000011791749698231e+00
5.000500050005000745e-03 1.000012273920465100e+00
5.100510051005100257e-03 1.000012765710811768e+00
5.200520052005200636e-03 1.000013266672340473e+00
5.300530053005301015e-03 1.000013778752200988e+00
5.400540054005400527e-03 1.000014301182019727e+00
5.500550055005500906e-03 1.000014834857996693e+00
5.600560056005600418e-03 1.000015375027932363e+00
5.700570057005700797e-03 1.000015921944841901e+00
5.800580058005801176e-03 1.000016480569046573e+00
5.900590059005900688e-03 1.000017056797787074e+00
6.000600060006001067e-03 1.000017639519659829e+00
6.100610061006100579e-03 1.000018226414823186e+00
6.200620062006200958e-03 1.000018821145735926e+00
6.300630063006300470e-03 1.000019430092324635e+00
6.400640064006400849e-03 1.000020054378598422e+00
6.500650065006501228e-03 1.000020684893331957e+00
6.600660066006600740e-03 1.000021322093343157e+00
6.700670067006701119e-03 1.000021967249045796e+00
6.800680068006800631e-03 1.000022622895260227e+00
6.900690069006901010e-03 1.000023293839970684e+00
7.000700070007000522e-03 1.000023974198538168e+00
7.100710071007100901e-03 1.000024661101896806e+00
7.200720072007201281e-03 1.000025357263509607e+00
7.300730073007300792e-03 1.000026062903432100e+00
7.400740074007401172e-03 1.000026776963446329e+00
7.500750075007500683e-03 1.000027502554171610e+00
7.600760076007601063e-03 1.000028244872966487e+00
7.700770077007701442e-03 1.000028992053792587e+00
7.800780078007800954e-03 1.000029745111545409e+00
7.900790079007900465e-03 1.000030508825830999e+00
8.000800080008000845e-03 1.000031281227548252e+00
8.100810081008101224e-03 1.000032065664395065e+00
8.200820082008201603e-03 1.000032863127028326e+00
8.300830083008300248e-03 1.000033670645125383e+00
8.400840084008400627e-03 1.000034484305674543e+00
8.500850085008501006e-03 1.000035308026518743e+00
8.600860086008601385e-03 1.000036138921807538e+00
8.700870087008701764e-03 1.000036980967028644e+00
8.800880088008800409e-03 1.000037833961233691e+00
8.900890089008900788e-03 1.000038698564489792e+00
9.000900090009001167e-03 1.000039574710875234e+00
9.100910091009101546e-03 1.000040455829928954e+00
9.200920092009201925e-03 1.000041347964871763e+00
9.300930093009300570e-03 1.000042247081108782e+00
9.400940094009400949e-03 1.000043157757963597e+00
9.500950095009501328e-03 1.000044079164860822e+00
9.600960096009601707e-03 1.000045012137429135e+00
9.700970097009702087e-03 1.000045955637183237e+00
9.800980098009800731e-03 1.000046907833869181e+00
9.900990099009901110e-03 1.000047866166352550e+00
1.000100010001000149e-02 1.000048834178310475e+00
1.010101010101010187e-02 1.000049814580473040e+00
1.020102010201020051e-02 1.000050803218607953e+00
1.030103010301030089e-02 1.000051802888897168e+00
1.040104010401040127e-02 1.000052814101988208e+00
1.050105010501050165e-02 1.000053833747354792e+00
1.060106010601060203e-02 1.000054860546252256e+00
1.070107010701070067e-02 1.000055900430064870e+00
1.080108010801080105e-02 1.000056947586549727e+00
1.090109010901090143e-02 1.000058005023939378e+00
1.100110011001100181e-02 1.000059074787443825e+00
